id,price,accommodates,bedrooms,bathrooms,host_is_superhost,host_has_profile_pic
10026648,65.0,1,1.0,1.0,f,t
9117633,250.0,4,2.0,2.0,f,t
9158383,69.0,1,1.0,1.0,f,t
1145590,400.0,5,2.0,2.0,f,t
5020848,150.0,2,1.0,2.0,f,t
9600159,200.0,6,2.0,2.0,f,t
3522409,141.0,4,1.0,1.0,f,t
9492873,85.0,2,0.0,1.0,f,t
5534463,775.0,8,4.0,4.0,f,t
9409233,195.0,4,1.0,1.0,f,t
9531265,249.0,4,2.0,2.0,f,t
5364609,95.0,2,1.0,1.0,f,t
6629132,122.0,3,1.0,1.0,f,t
5489676,170.0,4,2.0,1.0,f,t
9347157,65.0,2,1.0,1.0,f,t
10035644,90.0,2,1.0,1.0,f,t
8293287,88.0,2,1.0,1.0,f,t
910784,125.0,5,2.0,1.0,f,t
7071222,145.0,5,2.0,2.0,f,t
8687716,275.0,6,3.0,3.5,f,t
7430679,60.0,1,1.0,1.0,f,t
180939,95.0,2,1.0,1.0,f,t
6884604,140.0,2,0.0,1.0,f,t
7397476,250.0,6,2.0,2.0,t,t
1063855,225.0,5,2.0,1.0,f,t
8865006,60.0,2,1.0,1.0,f,t
8069192,95.0,2,1.0,1.0,f,t
2800448,65.0,2,1.0,1.0,f,t
9076287,78.0,2,1.0,1.0,f,t
7462439,59.0,2,1.0,1.0,f,t
8225635,400.0,11,4.0,3.5,t,t
2966415,55.0,2,1.0,1.0,f,t
4639465,129.0,2,1.0,1.0,t,t
7402190,65.0,2,1.0,1.0,f,t
9448719,175.0,2,1.0,1.0,f,t
5670781,160.0,6,3.0,2.0,f,t
1905473,75.0,2,1.0,1.0,f,t
7266662,80.0,2,1.0,1.0,f,t
9095510,109.0,4,1.0,1.0,f,t
7401854,95.0,2,1.0,1.0,f,t
5174876,85.0,2,0.0,1.0,t,t
1256883,99.0,6,2.0,1.0,f,t
8072850,90.0,2,1.0,1.0,f,t
6706377,73.0,4,1.0,1.5,f,t
9738522,400.0,15,5.0,3.0,t,t
2995996,170.0,6,2.0,2.0,f,t
6674408,48.0,2,1.0,1.5,t,t
6801095,90.0,2,1.0,2.0,f,t
143704,82.0,3,1.0,1.0,f,t
9258305,250.0,4,2.0,1.0,f,t
3727017,199.0,4,2.0,1.0,f,t
789966,105.0,2,1.0,1.0,f,t
6864319,250.0,8,2.0,2.0,f,t
1539463,75.0,2,1.0,1.0,t,t
9591787,250.0,9,3.0,2.5,t,t
10279830,175.0,5,2.0,1.0,f,t
1956553,95.0,3,1.0,1.0,f,t
7396508,150.0,4,1.0,1.0,t,t
6272065,65.0,2,1.0,1.0,f,t
7072218,120.0,3,1.0,1.0,f,t
7075948,300.0,5,2.0,1.5,f,t
7543458,89.0,2,1.0,1.0,t,t
3769336,109.0,2,1.0,1.0,f,t
8666707,75.0,3,1.0,1.0,f,t
7205443,99.0,6,2.0,1.0,f,t
193371,150.0,5,3.0,2.5,f,t
9957555,175.0,6,3.0,1.5,f,t
6795678,120.0,4,1.0,1.0,t,t
9300972,45.0,2,1.0,1.0,f,t
8047522,150.0,7,2.0,1.5,t,t
9457328,95.0,4,2.0,1.0,f,t
